date,week,bodyweight_lbs,set1,set2,set3,set4,set5,total_reps,volume_lbs,notes
2026-03-23,1,183.0,5,5,5,4,,19,3477.0,baseline
2026-03-25,1,190.0,5,5,5,5,,20,3800.0,
2026-03-27,1,185.0,6,5,5,5,,21,3885.0,
2026-04-02,2,187.0,6,6,5,5,,22,4114.0,
2026-04-04,2,192.0,6,6,6,6,,24,4608.0,
2026-04-07,2,192.0,7,7,5,5,,24,4608.0,
2026-04-08,3,190.0,7,7,6,5,,25,4750.0,
2026-04-10,3,190.0,7,7,6,6,,26,4940.0,
2026-04-13,3,192.0,7,7,7,7,,28,5376.0,
2026-04-19,4,190.0,8,7,7,7,,29,5510.0,
2026-04-24,4,186.0,8,8,8,8,,32,5952.0,
2026-04-27,4,193.0,8,7,7,7,,29,5597.0,
2026-05-01,5,187.0,9,9,8,8,,34,6358.0,
2026-05-04,5,191.0,8,8,8,7,,31,5921.0,
2026-05-06,5,187.0,9,9,9,9,,36,6732.0,
2026-05-11,6,188.8,10,9,9,9,,37,6985.6,
2026-05-13,6,185.0,11,11,10,10,,42,7770.0,
2026-05-15,6,183.8,11,11,11,10,,43,7903.4,
2026-05-18,7,185.1,11,11,11,11,,44,8144.4,
